Date,ExchangeRate,RateType,Source,LoadTimestampUTC
2024-09-30,36.9086,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-01,36.9227,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-02,36.9187,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-03,36.9812,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-04,36.9855,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-07,37.0358,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-08,37.0397,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-09,37.074,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-10,37.5295,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-11,37.6502,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-14,38.8857,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-15,38.888,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-16,38.9179,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-17,39.0116,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-18,39.1344,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-21,39.1699,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-22,39.1813,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-23,39.323,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-24,39.4617,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-25,40.8803,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-28,41.0429,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-29,41.7361,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-30,42.2256,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-10-31,42.5622,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
